item_id,level,tier
minecraft:red_stained_glass_pane,2,稀有
minecraft:terracotta,1,普通
minecraft:polished_andesite_slab,2,稀有
minecraft:yellow_carpet,3,罕见
minecraft:black_concrete_powder,2,稀有
minecraft:jungle_chest_boat,1,普通
minecraft:bamboo_sign,1,普通
minecraft:spruce_door,1,普通
minecraft:cherry_pressure_plate,1,普通
minecraft:waxed_exposed_cut_copper,2,稀有
minecraft:spruce_pressure_plate,1,普通
minecraft:mud_brick_slab,2,稀有
minecraft:acacia_hanging_sign,2,稀有
minecraft:acacia_trapdoor,1,普通
minecraft:yellow_stained_glass_pane,2,稀有
minecraft:birch_door,1,普通
minecraft:purple_stained_glass_pane,2,稀有
minecraft:diorite_wall,2,稀有
minecraft:red_nether_brick_wall,3,罕见
minecraft:pink_wool,3,罕见
minecraft:warped_hanging_sign,2,稀有
minecraft:magenta_terracotta,2,稀有
minecraft:cherry_trapdoor,1,普通
minecraft:spruce_chest_boat,1,普通
minecraft:jungle_fence,1,普通
minecraft:white_stained_glass,2,稀有
minecraft:furnace_minecart,2,稀有
minecraft:dark_oak_fence,1,普通
minecraft:cherry_fence_gate,1,普通
minecraft:minecart,2,稀有
minecraft:nether_brick_stairs,3,罕见
minecraft:cherry_sign,1,普通
minecraft:bricks,3,罕见
minecraft:red_nether_bricks,3,罕见
minecraft:pink_carpet,3,罕见
minecraft:mangrove_button,1,普通
minecraft:prismarine_brick_stairs,3,罕见
minecraft:jungle_slab,1,普通
minecraft:waxed_cut_copper,2,稀有
minecraft:cherry_fence,1,普通
minecraft:purpur_block,3,罕见
minecraft:brick_wall,3,罕见
minecraft:dark_oak_trapdoor,1,普通
minecraft:dark_oak_fence_gate,1,普通
minecraft:white_concrete_powder,2,稀有
minecraft:crimson_door,1,普通
minecraft:light_weighted_pressure_plate,4,史诗
minecraft:cherry_slab,1,普通
minecraft:gray_glazed_terracotta,2,稀有
minecraft:spruce_trapdoor,1,普通
minecraft:clay,1,普通
minecraft:bamboo_chest_raft,1,普通
minecraft:polished_granite,3,罕见
minecraft:brown_glazed_terracotta,2,稀有
minecraft:mossy_cobblestone_wall,1,普通
minecraft:light_gray_glazed_terracotta,2,稀有
minecraft:polished_diorite_slab,2,稀有
minecraft:mangrove_fence_gate,1,普通
minecraft:mangrove_planks,1,普通
minecraft:andesite_slab,2,稀有
minecraft:birch_boat,1,普通
minecraft:crimson_planks,1,普通
minecraft:oak_chest_boat,1,普通
minecraft:purple_stained_glass,2,稀有
minecraft:pink_stained_glass_pane,2,稀有
minecraft:birch_stairs,1,普通
minecraft:andesite_wall,2,稀有
minecraft:mossy_cobblestone_stairs,1,普通
minecraft:quartz_bricks,3,罕见
minecraft:iron_trapdoor,3,罕见
minecraft:oak_boat,1,普通
minecraft:purple_wool,3,罕见
minecraft:mangrove_slab,1,普通
minecraft:mangrove_trapdoor,1,普通
minecraft:orange_carpet,3,罕见
minecraft:black_glazed_terracotta,2,稀有
minecraft:iron_door,3,罕见
minecraft:piston,3,罕见
minecraft:orange_stained_glass_pane,2,稀有
minecraft:gray_wool,3,罕见
minecraft:nether_brick_fence,3,罕见
minecraft:black_stained_glass_pane,2,稀有
minecraft:oak_trapdoor,1,普通
minecraft:red_carpet,3,罕见
minecraft:prismarine_bricks,3,罕见
minecraft:black_terracotta,2,稀有
minecraft:jungle_hanging_sign,2,稀有
minecraft:oak_button,1,普通
minecraft:cherry_stairs,1,普通
minecraft:lime_wool,3,罕见
minecraft:pink_glazed_terracotta,2,稀有
minecraft:birch_pressure_plate,1,普通
minecraft:iron_block,3,罕见
minecraft:dark_prismarine,3,罕见
minecraft:dark_oak_chest_boat,1,普通
minecraft:acacia_chest_boat,1,普通
minecraft:jack_o_lantern,2,稀有
minecraft:polished_granite_stairs,3,罕见
minecraft:warped_button,1,普通
minecraft:gray_stained_glass_pane,2,稀有
minecraft:brown_stained_glass_pane,2,稀有
minecraft:lime_carpet,3,罕见
minecraft:mossy_stone_bricks,1,普通
minecraft:spruce_sign,1,普通
minecraft:andesite,2,稀有
minecraft:green_terracotta,2,稀有
minecraft:oak_pressure_plate,1,普通
minecraft:waxed_oxidized_copper,2,稀有
minecraft:chiseled_quartz_block,4,史诗
minecraft:cyan_concrete_powder,2,稀有
mod_3ce985ee:computer_tower,4,史诗
minecraft:gray_concrete_powder,2,稀有
minecraft:light_gray_wool,3,罕见
minecraft:warped_sign,1,普通
minecraft:cherry_wood,1,普通
minecraft:warped_fence,1,普通
minecraft:crimson_slab,1,普通
minecraft:waxed_weathered_cut_copper,2,稀有
minecraft:red_wool,3,罕见
minecraft:crimson_sign,1,普通
minecraft:waxed_oxidized_cut_copper_slab,2,稀有
minecraft:nether_brick_slab,3,罕见
minecraft:brown_carpet,3,罕见
minecraft:oak_fence_gate,1,普通
minecraft:white_wool,3,罕见
minecraft:cyan_carpet,3,罕见
minecraft:purpur_slab,3,罕见
minecraft:oak_hanging_sign,2,稀有
minecraft:waxed_exposed_cut_copper_slab,2,稀有
minecraft:hopper_minecart,3,罕见
minecraft:crimson_button,1,普通
minecraft:nether_wart_block,3,罕见
minecraft:prismarine_brick_slab,3,罕见
minecraft:warped_door,1,普通
minecraft:warped_trapdoor,1,普通
minecraft:mangrove_door,1,普通
minecraft:light_gray_stained_glass_pane,2,稀有
minecraft:oak_sign,1,普通
minecraft:diorite,2,稀有
minecraft:lime_concrete_powder,2,稀有
minecraft:waxed_oxidized_cut_copper_stairs,2,稀有
minecraft:orange_stained_glass,2,稀有
minecraft:spruce_stairs,1,普通
